trait,distance
Maximum new root length NF-C,0.6282835602760315
flag-leafwidth,0.6444021463394165
Number of large vascular bundles/Area of -2nd leaf,0.5944852232933044
Total number of spikelets  per panicle,0.6769356727600098
Number of spikelets per panicle,0.6842429637908936
blast resistance,0.660927414894104
panicle or tiller no.per m2,0.660590410232544
rice stripe virus resistance,0.5829498171806335
Area of -2nd leaf (cm2),0.6991081833839417
glossiness,0.5620260834693909
Relative root length after 2 weeks stress,0.568562924861908
Number of panicles,0.6823834776878357
Water absorption,0.6414501070976257
Grain number per plant,0.7545967698097229
sheath blight response ratings (SBRs),0.5090915560722351
basal root thickness,0.6890197396278381
Days to heading,0.5409291982650757
stress root length,0.6462895274162292
Grain width ,0.7368651032447815
germination rate,0.6705902814865112
Grain yield per plant,0.7621190547943115
Brown planthopper,0.6397226452827454
tiller-bud dormancy,0.6827234625816345
DRW Average,0.6101431250572205
Test (1000) grain weight,0.6883528232574463
Total root dry weight,0.6689605712890625
Plant age in leaf number NF-C,0.7049429416656494
Days to 50% flowering,0.6662943363189697
setback,0.6363703012466431
stickiness,0.5707643628120422
Spikelets per panicle,0.7044069766998291
Root number (Well watered),0.5649403929710388
shoot fresh weight (Water deficit),0.6291021108627319
floral organ number,0.622327446937561
first leaf length,0.695641815662384
allelopathy,0.6096467971801758
bacterial blight resistance,0.6637675166130066
germinability at low temperature (15Åé),0.5746374726295471
scent revelation with KOH,0.5864531397819519
number of secondary branches per panicle,0.6582310795783997
"""Yield, t/ha""",0.6783578991889954
field resistance to leaf blast,0.634244978427887
Panicles per plant ,0.7931655645370483
plant height (Low moisture stress),0.799724280834198
resistance-scoring,0.5999990105628967
Cold response index for vigor of germination,0.6132587790489197
relative root length (RRL),0.5985222458839417
panicle length,0.7504104971885681
pollen fertility,0.6743167042732239
white-berry kernels,0.6204316020011902
coleoptile elongation rate,0.6200379729270935
Number of elongated internodes,0.6889534592628479
leaf bronzing index,0.6049098372459412
Grains/panicle(1999),0.7108854055404663
adventitious root number(upland),0.6129130125045776
Plant height,0.9606351852416992
Length of the flag leaf ,0.6665803790092468
number of vascular bundle,0.5911272168159485
1000 kernel weight,0.6821518540382385
Grain number per planicle,0.6286463141441345
flavour or fragrance of basmati and jasmine rice,0.5808829665184021
"""FLS, mg Si per 100 mg dryweight in the flag leaf""",0.6211562156677246
Spikelet number per panicle(35 d after heading),0.6417828798294067
brown planthopper,0.6317861080169678
cold tolerance at seedling stage (CTS),0.5934703350067139
Relative germination rate(RGR),0.6083405613899231
yield,0.6855371594429016
leaf angle,0.7004120945930481
chlorophyll a/b ratio,0.6678206920623779
days to flowering (non stress),0.6010123491287231
Grain width,0.7495337128639221
